Time [s]	Input Load [N]	Output Load [N]
0.000000	 21.87	 18.83
0.000001	 26.57	 10.58
0.000002	 29.71	  4.83
0.000003	 29.53	 10.58
0.000004	 30.40	 13.45
0.000005	 31.10	  4.47
0.000006	 26.92	  1.96
0.000007	 23.44	  6.27
0.000008	 23.96	  7.35
0.000009	 24.48	 11.65
0.000010	 25.53	 14.17
0.000011	 26.92	  9.14
0.000012	 25.53	  8.06
0.000013	 23.78	  9.86
0.000014	 23.61	 10.58
0.000015	 23.09	 15.60
0.000016	 23.26	 18.83
0.000017	 23.44	 18.83
0.000018	 21.87	 21.34
0.000019	 22.74	 18.47
0.000020	 25.35	 12.73
0.000021	 26.57	 15.60
0.000022	 34.06	 17.04
0.000023	 51.65	 14.52
0.000024	 76.90	 19.19
0.000025	116.43	 19.55
0.000026	178.25	 10.58
0.000027	267.59	  6.63
0.000028	392.80	  5.55
0.000029	560.50	  6.27
0.000030	775.22	 13.09
0.000031	1039.75	 14.17
0.000032	1348.51	 10.58
0.000033	1689.83	 12.73
0.000034	2047.36	 12.73
0.000035	2397.05	 11.29
0.000036	2716.08	 15.24
0.000037	2987.22	 15.96
0.000038	3192.19	 15.24
0.000039	3320.37	 19.91
0.000040	3382.19	 20.27
0.000041	3402.91	 15.96
0.000042	3417.02	 16.68
0.000043	3471.00	 18.11
0.000044	3612.58	 17.40
0.000045	3879.03	 17.04
0.000046	4298.02	 13.09
0.000047	4880.19	  9.14
0.000048	5614.39	  9.14
0.000049	6479.89	  7.70
0.000050	7451.45	  7.70
0.000051	8499.64	 10.58
0.000052	9595.70	  9.14
0.000053	10709.36	  6.27
0.000054	11802.48	  4.83
0.000055	12825.42	  2.68
0.000056	13719.50	  5.55
0.000057	14430.00	 11.29
0.000058	14919.00	 10.94
0.000059	15173.95	 10.94
0.000060	15224.60	 15.24
0.000061	15148.85	 14.52
0.000062	15048.40	 12.73
0.000063	15018.63	 16.68
0.000064	15116.48	 16.32
0.000065	15331.35	 13.09
0.000066	15599.70	 17.04
0.000067	15846.65	 19.55
0.000068	16019.25	 18.11
0.000069	16112.60	 20.27
0.000070	16165.02	 18.47
0.000071	16221.45	 12.73
0.000072	16306.43	 11.65
0.000073	16412.33	  9.14
0.000074	16500.80	  6.99
0.000075	16530.72	 10.58
0.000076	16489.42	  9.50
0.000077	16400.78	  3.76
0.000078	16311.63	  1.60
0.000079	16260.63	  1.96
0.000080	16254.70	  6.27
0.000081	16278.20	 10.22
0.000082	16309.58	  6.99
0.000083	16331.00	  7.35
0.000084	16339.50	 13.09
0.000085	16342.27	 13.09
0.000086	16342.27	 13.45
0.000087	16337.22	 16.68
0.000088	16323.47	 15.60
0.000089	16302.05	 18.47
0.000090	16287.08	 23.14
0.000091	16294.23	 16.68
0.000092	16318.77	 12.01
0.000093	16340.55	 16.68
0.000094	16344.58	 16.32
0.000095	16328.20	 12.01
0.000096	16301.52	 10.58
0.000097	16282.00	  9.86
0.000098	16280.45	  9.50
0.000099	16293.02	  5.91
0.000100	16303.30	  3.40
0.000101	16297.17	  6.99
0.000102	16277.33	  5.91
0.000103	16254.88	  2.68
0.000104	16240.05	  6.63
0.000105	16240.05	  9.86
0.000106	16248.45	 11.65
0.000107	16250.73	 19.19
0.000108	16242.00	 23.86
0.000109	16227.38	 19.19
0.000110	16217.27	 15.60
0.000111	16220.73	 17.75
0.000112	16234.30	 19.55
0.000113	16244.08	 19.55
0.000114	16240.60	 18.83
0.000115	16229.98	 16.32
0.000116	16230.15	 12.01
0.000117	16251.57	  5.19
0.000118	16278.92	  1.24
0.000119	16288.33	  4.83
0.000120	16280.65	  6.63
0.000121	16276.30	  4.83
0.000122	16288.33	  5.55
0.000123	16309.05	  5.19
0.000124	16316.00	  3.40
0.000125	16299.98	  3.40
0.000126	16278.58	  4.12
0.000127	16271.07	  9.50
0.000128	16274.02	 19.55
0.000129	16267.43	 22.78
0.000130	16241.13	 18.83
0.000131	16209.08	 18.83
0.000132	16193.75	 19.19
0.000133	16198.80	 12.37
0.000134	16201.77	  9.86
0.000135	16184.17	 16.68
0.000136	16161.33	 20.27
0.000137	16163.08	 19.55
0.000138	16192.03	 19.91
0.000139	16219.73	 18.83
0.000140	16225.45	 14.17
0.000141	16222.83	  5.91
0.000142	16236.42	 -0.19
