Time [s]	Eng. strain [-]	Cast-200-550C-017 [MPa]	
0.000000	0.000607	103.721787	
0.000001	0.000606	103.632333	
0.000002	0.000590	100.922542	
0.000003	0.000668	114.283874	
0.000004	0.000658	112.586147	
0.000005	0.000620	106.089093	
0.000006	0.000684	117.042547	
0.000007	0.000716	122.437662	
0.000008	0.000704	120.307350	
0.000009	0.000774	132.370918	
0.000010	0.000839	143.463253	
0.000011	0.000850	145.316095	
0.000012	0.000925	158.106070	
0.000013	0.001019	174.242518	
0.000014	0.001064	181.914843	
0.000015	0.001160	198.320549	
0.000016	0.001283	219.329677	
0.000017	0.001335	228.299772	
0.000018	0.001415	242.044606	
0.000019	0.001550	265.061610	
0.000020	0.001617	276.447703	
0.000021	0.001679	287.148144	
0.000022	0.001808	309.112273	
0.000023	0.001874	320.457603	
0.000024	0.001898	324.530526	
0.000025	0.001995	341.115865	
0.000026	0.002070	353.954848	
0.000027	0.002090	357.366622	
0.000028	0.002170	371.038110	
0.000029	0.002247	384.285130	
0.000030	0.002258	386.064415	
0.000031	0.002320	396.675084	
0.000032	0.002411	412.305400	
0.000033	0.002433	416.084391	
0.000034	0.002488	425.495226	
0.000035	0.002593	443.353855	
0.000036	0.002617	447.516492	
0.000037	0.002640	451.475083	
0.000038	0.002741	468.786839	
0.000039	0.003234	475.920523	
0.000040	0.003710	475.047198	
0.000041	0.004172	485.200822	
0.000042	0.004619	488.277957	
0.000043	0.005055	478.809985	
0.000044	0.005481	479.128307	
0.000045	0.005899	479.716001	
0.000046	0.006312	469.350256	
0.000047	0.006724	468.623897	
0.000048	0.007137	473.390602	
0.000049	0.007551	467.195625	
0.000050	0.007968	470.321711	
0.000051	0.008386	480.864327	
0.000052	0.008801	486.800810	
0.000053	0.009213	492.582217	
0.000054	0.009617	497.890224	
0.000055	0.010013	499.587886	
0.000056	0.010402	498.842386	
0.000057	0.010785	498.940307	
0.000058	0.011164	498.521297	
0.000059	0.011543	496.649436	
0.000060	0.011924	495.887619	
0.000061	0.012307	496.143326	
0.000062	0.012695	496.091590	
0.000063	0.013084	497.449174	
0.000064	0.013474	500.262338	
0.000065	0.013862	502.471511	
0.000066	0.014247	504.512019	
0.000067	0.014628	506.245120	
0.000068	0.015007	506.334948	
0.000069	0.015384	506.696858	
0.000070	0.015761	508.438165	
0.000071	0.016137	509.268036	
0.000072	0.016513	509.706110	
0.000073	0.016887	511.363028	
0.000074	0.017259	512.075837	
0.000075	0.017630	511.645930	
0.000076	0.018000	513.104164	
0.000077	0.018370	515.441162	
0.000078	0.018741	516.208323	
0.000079	0.019113	517.038080	
0.000080	0.019484	518.460989	
0.000081	0.019854	518.382114	
0.000082	0.020223	517.827149	
0.000083	0.020592	518.627096	
0.000084	0.020960	519.489600	
0.000085	0.021328	519.802483	
0.000086	0.021696	520.150692	
0.000087	0.022063	520.112543	
0.000088	0.022431	520.414473	
0.000089	0.022797	521.747572	
0.000090	0.023163	522.735173	
0.000091	0.023529	523.706495	
0.000092	0.023894	525.523966	
0.000093	0.024258	526.073606	
0.000094	0.024622	525.456045	
0.000095	0.024985	526.726625	
0.000096	0.025348	528.821541	
0.000097	0.025711	529.354770	
0.000098	0.026075	530.026758	
0.000099	0.026439	531.278273	
0.000100	0.026803	530.886515	
0.000101	0.027167	530.157407	
0.000102	0.027531	531.313749	
0.000103	0.027896	532.570741	
0.000104	0.028260	532.804749	
0.000105	0.028625	533.332577	
0.000106	0.028989	533.770613	
0.000107	0.029352	533.781472	
0.000108	0.029715	534.635733	
0.000109	0.030077	535.854538	
0.000110	0.030439	536.599943	
0.000111	0.030800	537.337200	
0.000112	0.031159	537.309986	
0.000113	0.031516	536.716891	
0.000114	0.031872	537.699091	
0.000115	0.032226	539.225416	
0.000116	0.032578	539.385932	
0.000117	0.032929	539.968130	
0.000118	0.033277	541.189702	
0.000119	0.033623	540.806093	
0.000120	0.033968	540.536778	
0.000121	0.034312	542.449460	
0.000122	0.034654	543.777177	
0.000123	0.034996	543.287442	
0.000124	0.035337	543.322786	
0.000125	0.035678	543.613875	
0.000126	0.036019	543.211220	
0.000127	0.036361	543.823418	
0.000128	0.036703	545.202872	
0.000129	0.037046	545.676309	
0.000130	0.037391	546.098010	
0.000131	0.037737	546.492459	
0.000132	0.038084	546.095167	
0.000133	0.038433	546.799752	
0.000134	0.038781	548.516460	
0.000135	0.039129	548.497414	
0.000136	0.039477	547.926094	
0.000137	0.039824	548.745049	
0.000138	0.040167	548.981768	
0.000139	0.040509	548.723331	
0.000140	0.040849	550.320401	
0.000141	0.041185	551.912031	
0.000142	0.041519	551.425044	
0.000143	0.041851	551.030557	
0.000144	0.042181	551.427754	
0.000145	0.042509	551.278078	
0.000146	0.042837	551.637164	
0.000147	0.043164	552.616597	
0.000148	0.043491	552.447913	
0.000149	0.043818	552.137777	
0.000150	0.044146	552.755395	
0.000151	0.044474	553.024767	
0.000152	0.044804	553.688625	
0.000153	0.045134	555.530544	
0.000154	0.045465	556.129116	
0.000155	0.045797	555.296630	
0.000156	0.046130	555.484417	
0.000157	0.046463	556.072149	
0.000158	0.046798	555.996022	
0.000159	0.047133	556.638143	
0.000160	0.047468	557.432594	
0.000161	0.047804	556.858507	
0.000162	0.048139	556.401387	
0.000163	0.048473	556.882897	
0.000164	0.048808	557.299102	
0.000165	0.049142	558.322009	
0.000166	0.049476	559.742132	
0.000167	0.049810	559.690358	
0.000168	0.050144	559.342036	
0.000169	0.050478	560.228911	
0.000170	0.050813	560.726758	
0.000171	0.051148	560.862789	
0.000172	0.051485	562.125220	
0.000173	0.051821	562.810872	
0.000174	0.052158	562.016478	
0.000175	0.052495	562.125352	
0.000176	0.052834	563.210950	
0.000177	0.053172	563.610932	
0.000178	0.053512	564.057175	
0.000179	0.053852	564.565994	
0.000180	0.054192	564.005571	
0.000181	0.054533	563.752554	
0.000182	0.054873	564.552425	
0.000183	0.055213	564.974107	
0.000184	0.055554	565.561763	
0.000185	0.055895	566.696292	
0.000186	0.056235	566.443295	
0.000187	0.056576	565.654321	
0.000188	0.056917	566.682761	
0.000189	0.057258	568.013169	
0.000190	0.057599	568.306988	
0.000191	0.057942	569.109569	
0.000192	0.058285	569.884955	
0.000193	0.058628	569.378902	
0.000194	0.058972	569.381650	
0.000195	0.059316	570.453641	
0.000196	0.059660	571.057690	
0.000197	0.060005	571.596433	
0.000198	0.060349	572.004564	
0.000199	0.060692	571.207385	
0.000200	0.061034	570.989674	
0.000201	0.061374	572.170368	
0.000202	0.061713	572.396114	
0.000203	0.062051	572.213785	
0.000204	0.062388	573.293906	
0.000205	0.062723	573.405490	
0.000206	0.063057	572.181246	
0.000207	0.063390	572.823387	
0.000208	0.063721	574.529312	
0.000209	0.064053	574.455876	
0.000210	0.064384	574.153889	
0.000211	0.064713	574.978226	
