Time [s]	Input Load [N]	Output Load [N]
0.000000	  3.85	 -0.87
0.000010	  4.72	 -0.15
0.000020	  3.85	 -1.23
0.000030	  6.46	 -2.31
0.000040	  6.12	 -1.23
0.000050	  1.59	  0.21
0.000060	 14.30	  0.21
0.000070	 -6.77	 -0.51
0.000080	 77.34	 -0.51
0.000090	742.93	 -0.87
0.000100	2330.62	 -2.31
0.000110	4882.90	 -2.31
0.000120	7547.50	 -1.95
0.000130	8811.28	 -3.02
0.000140	8740.40	 -3.38
0.000150	8572.70	 -2.66
0.000160	8575.31	 -2.66
0.000170	8542.74	 -3.02
0.000180	8493.99	 -2.66
0.000190	8431.64	 -1.95
0.000200	8419.80	 -0.51
0.000210	8465.25	  1.28
0.000220	8476.05	  1.64
0.000230	8445.92	  1.28
0.000240	8414.75	  1.64
0.000250	8413.01	  1.28
0.000260	8453.76	  0.21
0.000270	8493.81	 -0.15
0.000280	8498.86	 -0.15
0.000290	8491.55	  0.21
0.000300	8466.47	 -0.15
0.000310	8404.65	 -1.59
0.000320	8373.47	 -1.95
0.000330	8424.84	 -1.59
0.000340	8476.57	 -3.38
0.000350	8488.76	 -0.15
0.000360	8463.34	  3.08
0.000370	8151.97	  3.44
0.000380	7228.29	113.98
0.000390	5539.77	443.10
0.000400	3430.34	995.10
0.000410	2127.21	1850.02
0.000420	2376.94	2870.76
0.000430	3306.01	3639.90
0.000440	3969.85	4120.11
0.000450	4372.48	4507.73
0.000460	4703.35	4779.79
0.000470	4968.75	4937.71
0.000480	5131.06	5055.79
0.000490	5181.38	5144.44
0.000500	5204.37	5211.92
0.000510	5261.32	5268.98
0.000520	5323.49	5313.49
0.000530	5386.88	5347.94
0.000540	5407.25	5379.89
0.000550	5356.92	5413.62
0.000560	5348.57	5446.28
0.000570	5396.63	5474.64
0.000580	5416.13	5499.04
0.000590	5476.03	5521.65
0.000600	5607.16	5542.11
0.000610	5654.01	5560.42
0.000620	5588.88	5578.36
0.000630	5573.90	5594.87
0.000640	5665.68	5611.02
0.000650	5769.12	5628.96
0.000660	5838.09	5645.48
0.000670	5883.36	5658.04
0.000680	5867.34	5669.52
0.000690	5832.34	5683.16
0.000700	5881.10	5698.59
0.000710	5977.58	5714.03
0.000720	6069.53	5729.10
0.000730	6146.32	5745.25
0.000740	6144.93	5763.56
0.000750	6067.61	5782.22
0.000760	5999.87	5798.37
0.000770	6000.05	5812.73
0.000780	6079.10	5827.08
0.000790	6164.61	5839.65
0.000800	6155.21	5850.42
0.000810	6101.74	5861.54
0.000820	6144.23	5871.95
0.000830	6259.34	5881.64
0.000840	6331.09	5892.40
0.000850	6350.25	5903.53
0.000860	6335.45	5913.94
0.000870	6292.95	5923.27
0.000880	6280.07	5932.60
0.000890	6325.86	5944.45
0.000900	6388.91	5957.36
0.000910	6414.86	5967.41
0.000920	6362.44	5974.95
0.000930	6250.64	5983.57
0.000940	6169.49	5994.33
0.000950	6178.72	6005.46
0.000960	6277.28	6015.15
0.000970	6411.55	6022.33
0.000980	6441.85	6028.79
0.000990	6299.40	6038.48
0.001000	6132.04	6050.68
0.001010	6087.98	6059.66
0.001020	6129.60	6065.04
0.001030	6190.91	6072.94
0.001040	6249.42	6081.55
0.001050	6237.40	6085.14
0.001060	6149.28	6090.52
0.001070	6095.13	6104.16
0.001080	6146.15	6117.44
0.001090	6261.08	6124.98
0.001100	6324.13	6132.16
0.001110	6271.71	6141.49
0.001120	6153.81	6152.97
0.001130	6043.58	6164.45
0.001140	6028.26	6171.99
0.001150	6141.97	6177.38
0.001160	6256.56	6183.48
0.001170	6280.77	6189.94
0.001180	6282.51	6198.19
0.001190	6290.51	6208.60
0.001200	6286.16	6217.22
0.001210	6317.68	6222.60
0.001220	6388.04	6226.19
0.001230	6409.28	6228.70
0.001240	6339.80	6231.93
0.001250	6239.67	6236.96
0.001260	6220.16	6242.34
0.001270	6327.61	6247.73
0.001280	6452.30	6254.90
0.001290	6459.79	6263.15
0.001300	6381.59	6269.62
0.001310	6343.63	6274.28
0.001320	6381.77	6279.31
0.001330	6448.81	6285.41
0.001340	6510.28	6289.72
0.001350	6545.46	6290.80
0.001360	6547.90	6292.59
0.001370	6535.72	6298.33
0.001380	6507.50	6307.30
0.001390	6482.42	6314.84
0.001400	6521.08	6316.28
0.001410	6593.88	6314.13
0.001420	6598.41	6313.41
0.001430	6522.31	6315.20
0.001440	6443.24	6319.86
