Time [s]	Eng. strain [-]	Cast-800-20C-005 [MPa]
0.000000	-0.000001	-0.111403	
0.000001	0.000016	3.247769	
0.000002	0.000022	4.444728	
0.000003	0.000027	5.442197	
0.000004	0.000035	7.088022	
0.000005	0.000047	9.432072	
0.000006	0.000064	12.823446	
0.000007	0.000087	17.411795	
0.000008	0.000115	23.047526	
0.000009	0.000149	29.730564	
0.000010	0.000183	36.662928	
0.000011	0.000216	43.296080	
0.000012	0.000255	50.976597	
0.000013	0.000302	60.352791	
0.000014	0.000349	69.778835	
0.000015	0.000395	78.905668	
0.000016	0.000445	88.980128	
0.000017	0.000496	99.254063	
0.000018	0.000542	108.331009	
0.000019	0.000584	116.709724	
0.000020	0.000624	124.789191	
0.000021	0.000658	131.571966	
0.000022	0.000686	137.107970	
0.000023	0.000718	143.691132	
0.000024	0.000759	151.820207	
0.000025	0.000795	158.902230	
0.000026	0.000827	165.435713	
0.000027	0.000873	174.512833	
0.000028	0.000927	185.435323	
0.000029	0.000985	196.956029	
0.000030	0.001053	210.571535	
0.000031	0.001134	226.780355	
0.000032	0.001228	245.582489	
0.000033	0.001339	267.726229	
0.000034	0.001469	293.760114	
0.000035	0.001628	325.579538	
0.000036	0.001827	365.328631	
0.000037	0.002066	413.107097	
0.000038	0.002339	467.867883	
0.000039	0.002638	527.566213	
0.000040	0.002950	589.908230	
0.000041	0.003265	652.948514	
0.000042	0.003558	711.699147	
0.000043	0.004741	759.377910	
0.000044	0.005900	792.992678	
0.000045	0.007034	811.196596	
0.000046	0.008143	812.593129	
0.000047	0.009231	799.974998	
0.000048	0.010303	778.678905	
0.000049	0.011359	753.592718	
0.000050	0.012399	731.299598	
0.000051	0.013420	718.432384	
0.000052	0.014421	717.035850	
0.000053	0.015402	725.813514	
0.000054	0.016369	742.720601	
0.000055	0.017329	763.717238	
0.000056	0.018289	784.115311	
0.000057	0.019254	800.723290	
0.000058	0.020227	811.745482	
0.000059	0.021209	817.829782	
0.000060	0.022197	820.323046	
0.000061	0.023191	819.874210	
0.000062	0.024190	819.226316	
0.000063	0.025190	820.872280	
0.000064	0.026189	823.365544	
0.000065	0.027180	825.709427	
0.000066	0.028161	828.901652	
0.000067	0.029130	831.844447	
0.000068	0.030090	833.240981	
0.000069	0.031046	834.288033	
0.000070	0.032006	836.282436	
0.000071	0.032969	838.776047	
0.000072	0.033936	839.823794	
0.000073	0.034901	839.225578	
0.000074	0.035861	839.824142	
0.000075	0.036818	842.168373	
0.000076	0.037775	844.213148	
0.000077	0.038733	846.108195	
0.000078	0.039694	848.202995	
0.000079	0.040653	849.599529	
0.000080	0.041609	850.646929	
0.000081	0.042559	851.794031	
0.000082	0.043505	852.891109	
0.000083	0.044451	853.988187	
0.000084	0.045398	854.736131	
0.000085	0.046347	855.334695	
0.000086	0.047295	856.232715	
0.000087	0.048239	856.581848	
0.000088	0.049180	856.830932	
0.000089	0.050120	858.376845	
0.000090	0.051063	859.823404	
0.000091	0.052009	860.721424	
0.000092	0.052957	862.865901	
0.000093	0.053904	864.910329	
0.000094	0.054850	865.259115	
0.000095	0.055795	865.608248	
0.000096	0.056742	866.555946	
0.000097	0.057690	867.353915	
0.000098	0.058640	868.750449	
0.000099	0.059588	870.496115	
0.000100	0.060533	871.044654	
0.000101	0.061476	871.293738	
0.000102	0.062418	872.191410	
0.000103	0.063360	872.740296	
0.000104	0.064300	873.239157	
0.000105	0.065239	874.136829	
0.000106	0.066174	874.835096	
0.000107	0.067107	875.583041	
0.000108	0.068040	876.480713	
0.000109	0.068973	877.478435	
0.000110	0.069905	878.874969	
0.000111	0.070836	880.022071	
0.000112	0.071766	880.820041	
0.000113	0.072696	881.618010	
0.000114	0.073626	881.917119	
0.000115	0.074558	882.465658	
0.000116	0.075489	883.563083	
0.000117	0.076420	883.862538	
0.000118	0.077350	884.461102	
0.000119	0.078281	886.156744	
0.000120	0.079212	887.154119	
0.000121	0.080144	888.201172	
0.000122	0.081074	889.597358	
0.000123	0.082003	889.547680	
0.000124	0.082932	889.447977	
0.000125	0.083860	889.597358	
0.000126	0.084788	888.549958	
0.000127	0.085714	888.649661	
0.000128	0.086638	890.594733	
0.000129	0.087562	891.642133	
0.000130	0.088486	891.991266	
0.000131	0.089410	893.038666	
0.000132	0.090333	894.036389	
0.000133	0.091255	894.934408	
0.000134	0.092176	896.280917	
0.000135	0.093099	896.978836	
0.000136	0.094022	896.978836	
0.000137	0.094944	897.527722	
0.000138	0.095866	898.325692	
0.000139	0.096786	899.073636	
0.000140	0.097707	899.572150	
0.000141	0.098629	899.322372	
0.000142	0.099551	899.621480	
0.000143	0.100471	900.868633	
0.000144	0.101392	901.766653	
0.000145	0.102313	902.414895	
0.000146	0.103235	902.614300	
0.000147	0.104157	902.315192	
0.000148	0.105078	903.262889	
0.000149	0.105997	905.158284	
0.000150	0.106915	906.305387	
0.000151	0.107833	907.352439	
0.000152	0.108750	908.299789	
0.000153	0.109664	907.900631	
0.000154	0.110574	907.701225	
0.000155	0.111480	908.748973	
0.000156	0.112384	909.148131	
0.000157	0.113284	908.998403	
0.000158	0.114181	909.596967	
0.000159	0.115072	910.345259	
0.000160	0.115958	910.893798	
0.000161	0.116841	911.392312	
0.000162	0.117721	911.691420	
0.000163	0.118596	911.940851	
0.000164	0.119467	912.090578	
0.000165	0.120335	912.589092	
0.000166	0.121204	913.985278	
0.000167	0.122073	914.982653	
0.000168	0.122944	915.032678	
0.000169	0.123816	915.531887	
0.000170	0.124692	916.180476	
0.000171	0.125576	916.529262	
