Time [s]	Eng. strain [-]	Cast-800-20C-007 [MPa]
0.000000	0.000008	1.548932
0.000001	0.000029	5.838732
0.000002	0.000043	8.697293
0.000003	0.000063	12.640144
0.000004	0.000082	16.435141
0.000005	0.000102	20.476553
0.000006	0.000134	26.883655
0.000007	0.000174	34.818586
0.000008	0.000215	42.950674
0.000009	0.000263	52.512064
0.000010	0.000313	62.664858
0.000011	0.000355	71.092667
0.000012	0.000395	78.929070
0.000013	0.000436	87.159754
0.000014	0.000472	94.355454
0.000015	0.000504	100.762590
0.000016	0.000534	106.726147
0.000017	0.000558	111.605421
0.000018	0.000583	116.583256
0.000019	0.000610	122.053935
0.000020	0.000636	127.278192
0.000021	0.000669	133.783856
0.000022	0.000711	142.260825
0.000023	0.000757	151.329303
0.000024	0.000809	161.778023
0.000025	0.000875	175.035979
0.000026	0.000953	190.610188
0.000027	0.001044	208.845670
0.000028	0.001153	230.530988
0.000029	0.001279	255.863539
0.000030	0.001439	287.701995
0.000031	0.001643	328.510571
0.000032	0.001884	376.712143
0.000033	0.002158	431.665766
0.000034	0.002465	493.075515
0.000035	0.002788	557.540646
0.000036	0.003110	622.005776
0.000037	0.003411	682.281944
0.000038	0.004540	730.729663
0.000039	0.005676	761.878083
0.000040	0.006811	774.100984
0.000041	0.007936	768.137496
0.000042	0.009043	748.718998
0.000043	0.010128	722.991993
0.000044	0.011194	697.807062
0.000045	0.012243	678.437999
0.000046	0.013281	667.447205
0.000047	0.014310	666.559771
0.000048	0.015331	675.381930
0.000049	0.016342	689.280486
0.000050	0.017343	705.347676
0.000051	0.018336	723.829992
0.000052	0.019327	742.311964
0.000053	0.020322	757.195795
0.000054	0.021327	767.496553
0.000055	0.022341	773.164802
0.000056	0.023362	774.643401
0.000057	0.024382	773.312421
0.000058	0.025399	770.700241
0.000059	0.026407	768.827532
0.000060	0.027409	768.137496
0.000061	0.028407	766.806860
0.000062	0.029403	765.180642
0.000063	0.030399	765.032679
0.000064	0.031395	766.017954
