Time [s]	Eng. strain [-]	Cast-200-550C-018 [MPa]	
0.000000	0.000729	124.701038	
0.000001	0.000710	121.451895	
0.000002	0.000707	120.970984	
0.000003	0.000776	132.700533	
0.000004	0.000740	126.505651	
0.000005	0.000699	119.601635	
0.000006	0.000771	131.803937	
0.000007	0.000765	130.874700	
0.000008	0.000708	121.060729	
0.000009	0.000785	134.192292	
0.000010	0.000830	141.984793	
0.000011	0.000766	131.062201	
0.000012	0.000818	139.898060	
0.000013	0.000913	156.069950	
0.000014	0.000891	152.295958	
0.000015	0.000936	160.015146	
0.000016	0.001065	182.121133	
0.000017	0.001089	186.294543	
0.000018	0.001123	192.049274	
0.000019	0.001254	214.505750	
0.000020	0.001314	224.653944	
0.000021	0.001348	230.506520	
0.000022	0.001476	252.384269	
0.000023	0.001541	263.518801	
0.000024	0.001535	262.540695	
0.000025	0.001629	278.631161	
0.000026	0.001707	291.844200	
0.000027	0.001684	288.021312	
0.000028	0.001756	300.223597	
0.000029	0.001867	319.321740	
0.000030	0.001859	317.862614	
0.000031	0.001904	325.606217	
0.000032	0.002049	350.296094	
0.000033	0.002100	359.107512	
0.000034	0.002152	367.935224	
0.000035	0.002306	394.385772	
0.000036	0.002394	409.457253	
0.000037	0.002435	416.385701	
0.000038	0.002557	437.244457	
0.000039	0.002646	452.511536	
0.000040	0.003171	456.904981	
0.000041	0.003665	469.734942	
0.000042	0.004127	477.763908	
0.000043	0.004558	472.702135	
0.000044	0.004963	475.057948	
0.000045	0.005347	476.997980	
0.000046	0.005718	465.089121	
0.000047	0.006083	461.486246	
0.000048	0.006446	464.844467	
0.000049	0.006810	452.756191	
0.000050	0.007177	446.716141	
0.000051	0.007548	459.293328	
0.000052	0.007919	460.646393	
0.000053	0.008290	458.861251	
0.000054	0.008658	474.682649	
0.000055	0.009022	482.844702	
0.000056	0.009383	487.920215	
0.000057	0.009739	492.297460	
0.000058	0.010091	495.223792	
0.000059	0.010440	494.881481	
0.000060	0.010786	493.286581	
0.000061	0.011131	491.118361	
0.000062	0.011476	487.809007	
0.000063	0.011823	486.040255	
0.000064	0.012173	486.733187	
0.000065	0.012526	488.059188	
0.000066	0.012883	491.118664	
0.000067	0.013241	495.667035	
0.000068	0.013597	498.060738	
0.000069	0.013951	499.332252	
0.000070	0.014302	502.087268	
0.000071	0.014650	503.597853	
0.000072	0.014997	503.249977	
0.000073	0.015344	504.285088	
0.000074	0.015689	505.083834	
0.000075	0.016034	503.687220	
0.000076	0.016376	503.958901	
0.000077	0.016716	506.605320	
0.000078	0.017053	507.863359	
0.000079	0.017389	508.708454	
0.000080	0.017724	510.838728	
0.000081	0.018059	511.501795	
0.000082	0.018394	511.064419	
0.000083	0.018727	512.344184	
0.000084	0.019058	513.623893	
0.000085	0.019387	513.792314	
0.000086	0.019713	514.558508	
0.000087	0.020035	514.756869	
0.000088	0.020356	514.167311	
0.000089	0.020674	515.539472	
0.000090	0.020990	517.457739	
0.000091	0.021305	517.694084	
0.000092	0.021619	518.721057	
0.000093	0.021931	520.443574	
0.000094	0.022243	520.063108	
0.000095	0.022556	520.054913	
0.000096	0.022868	522.535618	
0.000097	0.023180	523.918680	
0.000098	0.023493	523.489499	
0.000099	0.023807	524.019422	
0.000100	0.024119	524.389006	
0.000101	0.024432	523.815705	
0.000102	0.024745	524.769340	
0.000103	0.025057	526.470130	
0.000104	0.025368	527.111261	
0.000105	0.025679	528.083879	
0.000106	0.025988	528.850016	
0.000107	0.026296	528.211440	
0.000108	0.026603	528.771096	
0.000109	0.026908	530.689305	
0.000110	0.027212	530.879510	
0.000111	0.027515	530.537217	
0.000112	0.027818	531.572518	
0.000113	0.028119	531.844331	
0.000114	0.028421	531.512939	
0.000115	0.028723	532.980203	
0.000116	0.029026	534.594161	
0.000117	0.029331	534.789797	
0.000118	0.029638	535.273447	
0.000119	0.029945	535.743527	
0.000120	0.030255	535.615853	
0.000121	0.030566	536.843989	
0.000122	0.030878	538.452496	
0.000123	0.031191	538.409043	
0.000124	0.031504	538.767706	
0.000125	0.031817	539.762184	
0.000126	0.032129	539.197058	
0.000127	0.032440	539.284022	
0.000128	0.032751	541.487539	
0.000129	0.033060	542.242850	
0.000130	0.033368	541.462992	
0.000131	0.033676	542.199245	
0.000132	0.033982	542.883869	
0.000133	0.034288	542.307785	
0.000134	0.034594	543.340190	
0.000135	0.034899	545.282814	
0.000136	0.035204	545.217557	
0.000137	0.035509	544.793694	
0.000138	0.035812	545.190418	
0.000139	0.036115	544.907912	
0.000140	0.036418	545.253062	
0.000141	0.036720	546.793701	
0.000142	0.037020	547.013809	
0.000143	0.037318	546.791014	
0.000144	0.037615	547.652329	
0.000145	0.037909	547.437691	
0.000146	0.038201	547.095360	
0.000147	0.038490	549.146751	
0.000148	0.038778	550.366711	
0.000149	0.039063	549.179323	
0.000150	0.039346	549.489025	
0.000151	0.039627	550.809462	
0.000152	0.039907	550.217102	
0.000153	0.040186	550.448017	
0.000154	0.040465	552.591766	
0.000155	0.040743	552.599923	
0.000156	0.041021	550.994178	
0.000157	0.041300	551.260522	
0.000158	0.041579	551.896411	
0.000159	0.041859	551.660122	
0.000160	0.042140	552.516081	
0.000161	0.042421	553.488850	
0.000162	0.042703	553.051436	
0.000163	0.042986	552.980786	
0.000164	0.043268	553.562207	
0.000165	0.043550	554.015897	
0.000166	0.043833	555.385220	
0.000167	0.044115	556.572476	
0.000168	0.044397	556.118634	
0.000169	0.044681	556.265271	
0.000170	0.044964	557.305852	
0.000171	0.045249	557.186279	
0.000172	0.045535	557.678085	
0.000173	0.045823	559.645275	
0.000174	0.046111	559.718670	
0.000175	0.046401	558.430785	
0.000176	0.046693	559.175233	
0.000177	0.046984	560.289189	
0.000178	0.047277	560.006589	
0.000179	0.047572	560.680424	
0.000180	0.047866	561.802632	
0.000181	0.048162	561.047377	
0.000182	0.048459	560.379068	
0.000183	0.048756	561.058373	
0.000184	0.049054	561.417037	
0.000185	0.049353	562.145171	
0.000186	0.049652	563.343347	
0.000187	0.049951	562.884111	
0.000188	0.050250	562.430345	
0.000189	0.050549	563.894827	
0.000190	0.050848	564.718101	
0.000191	0.051147	564.978937	
0.000192	0.051446	567.033034	
0.000193	0.051744	568.242112	
0.000194	0.052042	566.954227	
0.000195	0.052341	566.897166	
0.000196	0.052638	568.318194	
0.000197	0.052935	568.220366	
0.000198	0.053232	567.994846	
0.000199	0.053527	568.758314	
0.000200	0.053822	568.171424	
0.000201	0.054115	567.217732	
0.000202	0.054408	568.008434	
0.000203	0.054699	568.698603	
0.000204	0.054989	569.016557	
0.000205	0.055278	570.228398	
0.000206	0.055567	570.309930	
0.000207	0.055855	569.394260	
0.000208	0.056144	570.402269	
0.000209	0.056432	571.649369	
0.000210	0.056721	571.317864	
0.000211	0.057011	571.967209	
0.000212	0.057299	573.010534	
0.000213	0.057588	572.018763	
0.000214	0.057877	571.817639	
0.000215	0.058165	573.901563	
0.000216	0.058453	574.762840	
0.000217	0.058741	574.439511	
0.000218	0.059028	575.216625	
0.000219	0.059315	575.224839	
0.000220	0.059602	574.197847	
0.000221	0.059888	574.961372	
0.000222	0.060173	576.276434	
0.000223	0.060459	576.314456	
0.000224	0.060743	576.705672	
0.000225	0.061027	576.846916	
0.000226	0.061309	575.866027	
0.000227	0.061591	576.439310	
0.000228	0.061871	578.017915	
0.000229	0.062149	577.765236	
0.000230	0.062426	577.662014	
0.000231	0.062701	578.680944	
0.000232	0.062973	577.917475	
0.000233	0.063245	576.914898	
0.000234	0.063514	578.607644	
0.000235	0.063782	579.922725	
0.000236	0.064049	579.113058	
0.000237	0.064316	579.167413	
0.000238	0.064581	579.740715	
0.000239	0.064847	579.140236	
0.000240	0.065114	579.490705	
0.000241	0.065383	580.803004	
0.000242	0.065654	580.808397	
0.000243	0.065928	580.751317	
0.000244	0.066205	581.156160	
0.000245	0.066485	580.474186	
0.000246	0.066768	580.626350	
0.000247	0.067053	582.579913	
0.000248	0.067340	583.014640	
0.000249	0.067628	582.126147	
0.000250	0.067917	582.683153	
0.000251	0.068206	583.131507	
0.000252	0.068494	582.522965	
0.000253	0.068783	583.357178	
0.000254	0.069070	584.802715	
0.000255	0.069356	584.558193	
0.000256	0.069642	584.126154	
0.000257	0.069928	584.158688	
0.000258	0.070213	583.669531	
0.000259	0.070498	584.163949	
0.000260	0.070782	585.400147	
0.000261	0.071067	584.962658	
0.000262	0.071352	584.446398	
0.000263	0.071636	585.182727	
0.000264	0.071918	584.786061	
0.000265	0.072201	584.354078	
0.000266	0.072483	586.272345	
0.000267	0.072764	587.416242	
0.000268	0.073044	586.280521	
0.000269	0.073323	586.266951	
0.000270	0.073601	586.992416	
0.000271	0.073878	586.169161	
0.000272	0.074154	586.161023	
0.000273	0.074429	587.620111	
0.000274	0.074702	587.432669	
0.000275	0.074975	586.389382	
0.000276	0.075247	586.427499	
0.000277	0.075519	586.060773	
0.000278	0.075790	585.865193	
0.000279	0.076061	587.207433	
0.000280	0.076332	587.693751	
0.000281	0.076602	587.180161	
0.000282	0.076873	587.824018	
0.000283	0.077142	587.742409	
0.000284	0.077411	586.571259	
0.000285	0.077681	587.701473	
0.000286	0.077949	589.394143	
0.000287	0.078218	588.524652	
0.000288	0.078486	588.209480	
0.000289	0.078753	589.530012	
0.000290	0.079020	589.125245	
0.000291	0.079286	588.638983	
0.000292	0.079552	590.666017	
0.000293	0.079816	591.644256	
0.000294	0.080081	590.269482	
0.000295	0.080346	590.027667	
0.000296	0.080609	590.435178	
0.000297	0.080873	589.666183	
0.000298	0.081138	589.815546	
0.000299	0.081402	590.847989	
0.000300	0.081666	590.426851	
0.000301	0.081931	589.728620	
0.000302	0.082195	589.875390	
0.000303	0.082460	590.022160	
0.000304	0.082725	591.087268	
0.000305	0.082991	592.714777	
0.000306	0.083256	592.755486	
0.000307	0.083522	592.584283	
0.000308	0.083787	593.385812	
0.000309	0.084053	593.165761	
0.000310	0.084319	593.038106	
0.000311	0.084587	594.907506	
0.000312	0.084854	595.605832	
0.000313	0.085122	593.981029	
0.000314	0.085391	593.695703	
0.000315	0.085659	594.548823	
0.000316	0.085928	594.138530	
0.000317	0.086198	594.383052	
0.000318	0.086468	595.858416	
0.000319	0.086738	595.719841	
0.000320	0.087009	594.796033	
0.000321	0.087280	595.122030	
0.000322	0.087552	595.404555	
0.000323	0.087826	595.860971	
0.000324	0.088100	597.235782	
0.000325	0.088375	597.162406	
0.000326	0.088652	596.042981	
0.000327	0.088929	596.561927	
0.000328	0.089207	596.969476	
0.000329	0.089484	596.301054	
0.000330	0.089760	597.360674	
0.000331	0.090035	598.778957	
0.000332	0.090308	597.684003	
0.000333	0.090579	596.961301	
0.000334	0.090847	598.279107	
0.000335	0.091113	598.640496	
0.000336	0.091378	598.371503	
0.000337	0.091641	599.281684	
0.000338	0.091902	599.148503	
0.000339	0.092163	597.806264	
0.000340	0.092423	598.031803	
0.000341	0.092682	598.833407	
0.000342	0.092942	599.078023	
0.000343	0.093201	600.243723	
0.000344	0.093461	600.860535	
0.000345	0.093720	599.817191	
0.000346	0.093980	600.045380	
0.000347	0.094240	601.308756	
0.000348	0.094500	601.200027	
0.000349	0.094761	601.642891	
0.000350	0.095021	603.012308	
0.000351	0.095280	602.224426	
0.000352	0.095539	601.009992	
0.000353	0.095797	602.409350	
0.000354	0.096053	603.735313	
0.000355	0.096308	603.613034	
0.000356	0.096562	604.436232	
0.000357	0.096815	604.952359	
0.000358	0.097068	603.569277	
0.000359	0.097321	603.112748	
0.000360	0.097573	604.041969	
0.000361	0.097826	604.346315	
0.000362	0.098081	605.069131	
0.000363	0.098336	605.973976	
0.000364	0.098592	605.289295	
0.000365	0.098848	605.275669	
0.000366	0.099105	606.843334	
0.000367	0.099362	607.003541	
0.000368	0.099619	606.720884	
0.000369	0.099877	607.981553	
0.000370	0.100134	607.864724	
0.000371	0.100392	606.218214	
0.000372	0.100651	606.851321	
0.000373	0.100910	608.367470	
0.000374	0.101171	607.848561	
0.000375	0.101432	607.481816	
0.000376	0.101693	607.905755	
0.000377	0.101956	607.060830	
0.000378	0.102219	606.718556	
0.000379	0.102483	608.164055	
0.000380	0.102748	609.003605	
0.000381	0.103014	609.508906	
0.000382	0.103280	610.636394	
0.000383	0.103547	610.386327	
0.000384	0.103814	609.807518	
0.000385	0.104083	611.342612	
0.000386	0.104351	612.483765	
0.000387	0.104621	611.823537	
0.000388	0.104891	611.902344	
0.000389	0.105161	612.021918	
0.000390	0.105430	610.614497	
0.000391	0.105700	610.312933	
0.000392	0.105968	611.695939	
0.000393	0.106235	612.100838	
0.000394	0.106501	612.071011	
0.000395	0.106766	612.505813	
0.000396	0.107029	611.946157	
0.000397	0.107292	611.669064	
0.000398	0.107554	612.962399	
0.000399	0.107815	613.361810	
0.000400	0.108076	612.946085	
0.000401	0.108337	613.554684	
0.000402	0.108597	613.174274	
0.000403	0.108857	611.864644	
0.000404	0.109118	613.005796	
0.000405	0.109378	614.932182	
0.000406	0.109639	614.828942	
0.000407	0.109900	615.198488	
0.000408	0.110161	616.554316	
0.000409	0.110422	616.095137	
0.000410	0.110683	615.565289	
0.000411	0.110944	617.051460	
0.000412	0.111205	617.681709	
0.000413	0.111465	616.866479	
0.000414	0.111726	616.831068	
0.000415	0.111985	616.518584	
0.000416	0.112244	615.806745	
0.000417	0.112502	616.730629	
0.000418	0.112760	617.518663	
0.000419	0.113017	616.910103	
0.000420	0.113275	617.257884	
0.000421	0.113531	617.513250	
0.000422	0.113787	616.181836	
0.000423	0.114042	616.668155	
0.000424	0.114296	618.885279	
0.000425	0.114550	618.833706	
0.000426	0.114803	618.249598	
0.000427	0.115055	619.404396	
0.000428	0.115306	619.181620	
0.000429	0.115557	618.037742	
0.000430	0.115809	619.594582	
0.000431	0.116060	621.349765	
0.000432	0.116313	620.586239	
0.000433	0.116566	620.287344	
0.000434	0.116820	620.844312	
0.000435	0.117076	619.890601	
0.000436	0.117333	619.442267	
0.000437	0.117591	620.871414	
0.000438	0.117851	621.499033	
0.000439	0.118114	621.164821	
0.000440	0.118378	621.088758	
0.000441	0.118644	620.404078	
0.000442	0.118913	620.121534	
0.000443	0.119182	621.246411	
0.000444	0.119453	621.751787	
0.000445	0.119724	621.952837	
0.000446	0.119995	623.175503	
0.000447	0.120266	623.077694	
0.000448	0.117256	621.792554	
0.000449	0.117450	622.683790	
0.000450	0.117549	624.189076	
0.000451	0.117981	623.672855	
0.000452	0.118272	623.591341	
0.000453	0.118343	624.452637	
0.000454	0.118722	623.526104	
0.000455	0.119097	622.466446	
0.000456	0.119168	623.455454	
0.000457	0.119438	624.074934	
0.000458	0.119827	623.884711	
0.000459	0.119935	624.659043	
0.000460	0.120152	624.889957	
0.000461	0.120564	624.365541	
0.000462	0.120708	625.245857	
0.000463	0.120852	626.031109	
0.000464	0.121268	625.561086	
0.000465	0.121474	626.009420	
0.000466	0.121570	626.224077	
0.000467	0.121996	624.593843	
0.000468	0.122293	624.433522	
0.000469	0.122313	626.213176	
0.000470	0.122639	626.406087	
0.000471	0.123013	626.221333	
0.000472	0.123051	627.604320	
0.000473	0.123295	627.631479	
0.000474	0.123735	626.221295	
0.000475	0.123843	626.732047	
0.000476	0.123989	627.927498	
0.000477	0.124394	627.791610	
0.000478	0.124569	628.038857	
0.000479	0.124695	628.310576	
0.000480	0.125099	627.413983	
0.000481	0.125333	627.544439	
0.000482	0.125407	628.647607	
0.000483	0.125762	628.778063	
0.000484	0.126046	629.598668	
0.000485	0.126087	631.014302	
0.000486	0.126413	630.123160	
0.000487	0.126815	628.957574	
0.000488	0.126873	629.973779	
0.000489	0.127092	630.299833	
0.000490	0.127532	629.566229	
0.000491	0.127648	630.460116	
0.000492	0.127789	631.038792	
0.000493	0.128248	629.606825	
0.000494	0.128466	629.321443	
0.000495	0.128552	630.413615	
0.000496	0.128943	630.367360	
0.000497	0.129221	630.481464	
0.000498	0.129300	631.293894	
0.000499	0.129658	630.750552	
0.000500	0.130006	630.370237	
0.000501	0.130079	631.563095	
0.000502	0.130359	632.109257	
0.000503	0.130742	632.438018	
0.000504	0.130827	633.706825	
0.000505	0.131059	633.380695	
0.000506	0.131519	632.060125	
0.000507	0.131651	632.997466	
0.000508	0.131764	634.114166	
0.000509	0.132209	633.402327	
0.000510	0.132426	633.687672	
0.000511	0.132482	634.538162	
0.000512	0.132892	633.234001	
0.000513	0.133211	632.340095	
0.000514	0.133241	633.660589	
0.000515	0.133536	634.122493	
0.000516	0.133897	633.573663	
0.000517	0.133978	633.858989	
0.000518	0.134231	633.638957	
0.000519	0.134617	633.293939	
0.000520	0.134705	634.679689	
0.000521	0.134870	635.788289	
0.000522	0.135270	635.758424	
0.000523	0.135415	636.627877	
0.000524	0.135534	637.040858	
0.000525	0.135957	635.899668	
0.000526	0.136180	636.320787	
0.000527	0.136222	638.114010	
0.000528	0.136575	637.940101	
0.000529	0.136896	636.970076	
0.000530	0.136975	637.024374	
0.000531	0.137274	636.478193	
0.000532	0.137622	635.847811	
0.000533	0.137702	636.671066	
0.000534	0.137924	637.146559	
0.000535	0.138286	636.918351	
0.000536	0.138400	637.404745	
0.000537	0.138583	637.298798	
0.000538	0.138973	636.918408	
0.000539	0.139098	638.494306	
0.000540	0.139181	639.602887	
0.000541	0.139594	638.320453	
0.000542	0.139839	637.989005	
0.000543	0.139875	638.853064	
0.000544	0.140228	638.195562	
0.000545	0.140552	638.143913	
0.000546	0.140559	640.132773	
0.000547	0.140812	640.562030	
0.000548	0.141217	639.325756	
0.000549	0.141311	639.564846	
0.000550	0.141491	640.159913	
0.000551	0.141880	639.931705	
0.000552	0.142016	640.534909	
0.000553	0.142155	640.795726	
0.000554	0.142561	639.581160	
0.000555	0.142772	639.290384	
0.000556	0.142864	639.681600	
0.000557	0.143235	639.246854	
0.000558	0.143489	639.966869	
0.000559	0.143525	641.170534	
0.000560	0.143874	640.045657	
0.000561	0.144248	639.260386	
0.000562	0.144270	640.749263	
0.000563	0.144507	641.175776	
0.000564	0.144937	640.857822	
0.000565	0.145000	642.257066	
0.000566	0.145154	642.515177	
0.000567	0.145644	640.781721	
0.000568	0.145810	641.240957	
0.000569	0.145855	643.121239	
0.000570	0.146274	642.947443	
0.000571	0.146544	642.741038	
0.000572	0.146591	643.670334	
0.000573	0.146953	642.972084	
0.000574	0.147303	641.801029	
0.000575	0.147372	642.646011	
0.000576	0.147630	643.425775	
0.000577	0.147981	643.034483	
0.000578	0.148107	642.844240	
0.000579	0.148352	642.406732	
0.000580	0.148713	642.200175	
0.000581	0.148824	643.482571	
0.000582	0.148993	644.400910	
0.000583	0.149371	644.433519	
0.000584	0.149527	645.243242	
0.000585	0.149656	645.188944	
0.000586	0.150077	643.659282	
0.000587	0.150307	644.039691	
0.000588	0.150338	645.569410	
0.000589	0.150700	644.805923	
0.000590	0.151044	643.797895	
0.000591	0.151087	644.550519	
0.000592	0.151358	644.496182	
0.000593	0.151741	643.971785	
0.000594	0.151805	645.314006	
0.000595	0.151981	646.267698	
0.000596	0.152380	645.411834	
0.000597	0.152533	645.170018	
0.000598	0.152673	645.414559	
0.000599	0.153044	645.349359	
0.000600	0.153208	646.555730	
0.000601	0.153281	647.580054	
0.000602	0.153657	646.498669	
0.000603	0.153924	645.949839	
0.000604	0.153968	646.433488	
